,Produto,Preços,Links
10,Creatina Monohidratada 500g Soldiers Nutrition Sabor Natural,139,https://www.mercadolivre.com.br/creatina-monohidratada-500g-soldiers-nutrition-sabor-natural/p/MLB18725308?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB18725308&position=5&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=0692d3be-bf72-49d0-9f8f-669bbb385f76
11,Impressora Multifuncional Hp Smart Tank 581 4A8D5A Cor Preto 110V/220V,1.089,https://www.mercadolivre.com.br/impressora-multifuncional-hp-smart-tank-581-4a8d5a-cor-preto-110v220v/p/MLB23771424?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB23771424&position=8&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=b59aecdd-9be2-4f40-b5b2-3315227ff4fc
12,Samsung Galaxy A15 Dual SIM 4G 256GB Azul claro 8GB RAM ,1.499,https://www.mercadolivre.com.br/samsung-galaxy-a15-dual-sim-4g-256gb-azul-claro-8gb-ram/p/MLB31214366?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB31214366&position=12&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=cc6cea27-ea8b-4856-8107-727c7bdb7ecd
13,Micro-ondas Philco Pmo23e 20l Espelhado 1100w Tira Odor 110v 127V,699,https://www.mercadolivre.com.br/micro-ondas-philco-pmo23e-20l-espelhado-1100w-tira-odor-110v-127v/p/MLB17484024?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB17484024&position=2&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=f5acc4fe-5252-4bd0-92d8-921c01e87841
14,Samsung Smart Tv 58'' Uhd 4k 58cu7700 2023,2.999,https://www.mercadolivre.com.br/samsung-smart-tv-58-uhd-4k-58cu7700-2023/p/MLB24557140?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB24557140&position=10&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=43265f12-9e52-4851-ba5d-a864f5c33cd4
15,Parafusadeira Furadeira Sem Fio Bateria 12v P/ Madeira Metal Cor Amarelo/Preto Frequência 60 110V/220V,210,https://www.mercadolivre.com.br/parafusadeira-furadeira-sem-fio-bateria-12v-p-madeira-metal-cor-amarelopreto-frequncia-60-110v220v/p/MLB24060776?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB24060776&position=4&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=b4662f5b-4cad-404a-9d94-79cdff4a8944
16,"Notebook Acer Aspire 5 A515-57-55b8 Intel Core I5 8gb 256gb SSD 15,6'' W11",4.331,https://www.mercadolivre.com.br/notebook-acer-aspire-5-a515-57-55b8-intel-core-i5-8gb-256gb-ssd-156-w11/p/MLB27956045?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB27956045&position=13&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=bd5289e2-9653-4ec4-a0f8-6946bf65d126
17,Ar Condicionado LG Voice Dual Inverter Ia 9000 Btus Só Frio 220v Branco,2.609,https://www.mercadolivre.com.br/ar-condicionado-lg-voice-dual-inverter-ia-9000-btus-so-frio-220v-branco/p/MLB27145747?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB27145747&position=18&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=896b3241-78fd-4035-84fc-185f2b93c933
18,Samsung Galaxy A15 4G Dual SIM 128 GB Azul claro 4 GB RAM,1.270,https://www.mercadolivre.com.br/samsung-galaxy-a15-4g-dual-sim-128-gb-azul-claro-4-gb-ram/p/MLB32175032?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB32175032&position=9&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=9704de4b-a627-4f04-933f-3ad7b695643b
19,Sony Playstation 5 Marvel's Spider-Man 2 825GB Standard,5.999,https://www.mercadolivre.com.br/sony-playstation-5-marvels-spider-man-2-825gb-standard/p/MLB28519459?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB28519459&position=21&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=7372e954-56ea-49b9-bb8b-a915b853a58d
20,Smart TV LG 32’’ LED HD 32LQ621 Bivolt Preta - Experiência Visual Incrível,1.499,https://www.mercadolivre.com.br/smart-tv-lg-32-led-hd-32lq621-bivolt-preta-experincia-visual-incrivel/p/MLB19470425?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB19470425&position=15&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=64d9cdad-a681-417f-b1b7-b2266ad37f6b
21,Parafusadeira Furadeira De Impacto Profissional 21v  Modelo TB-21PX 2 Baterias Com Maleta Tb21px The Black Tools,374,https://www.mercadolivre.com.br/parafusadeira-furadeira-de-impacto-profissional-21v-modelo-tb-21px-2-baterias-com-maleta-tb21px-the-black-tools/p/MLB30144703?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB30144703&position=19&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=89d74047-79ee-4654-8765-256ba819dcfe
22,Notebook Acer Asp3 A315-510p-34xc I3 8gb 256gb Ssd 15.6 W11,3.099,https://www.mercadolivre.com.br/notebook-acer-asp3-a315-510p-34xc-i3-8gb-256gb-ssd-156-w11/p/MLB26816741?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB26816741&position=16&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=1841b2d8-8e9e-426a-8498-a3b0d6e10434
23,Impressora Multifuncional 3 Em 1 Ecotank L3250 Preta Epson Cor Preto Bivolt,1.378,https://www.mercadolivre.com.br/impressora-multifuncional-3-em-1-ecotank-l3250-preta-epson-cor-preto-bivolt/p/MLB18552821?pdp_filters=deal%3AMLB779362-1#polycard_client=homes-korribanSearchPromotions&searchVariation=MLB18552821&position=14&search_layout=grid&type=product&tracking_id=f87c7f71-98a6-4491-a192-1ff61ede8979&c_id=/home/promotions-recommendations/element&c_uid=dc12d0a6-b77f-43d0-9c8d-50094f073b30
